Group, Name, Version
kontactinterface,kontactinterface,23.08.4-1
kontrast,kontrast,23.08.4-1
konversation,konversation,23.08.4-1
kopeninghours,kopeninghours,23.08.4-1
kopete,kopete,23.08.4-1
korganizer,korganizer,23.08.4-1
kosmindoormap,kosmindoormap,23.08.4-1
kpackage,kpackage,6.4.0-1
kpackage5,kpackage5,5.115.0-1
kparts,kparts,6.4.0-1
kparts5,kparts5,5.115.0-1
kpat,kpat,23.08.4-1
kpeople,kpeople,6.4.0-1
kpeople5,kpeople5,5.115.0-1
kpeoplevcard,kpeoplevcard,0.1-2
kpimtextedit,kpimtextedit,23.08.4-1
kpipewire,kpipewire,5.27.10-1
kpkpass,kpkpass,23.08.4-1
kplotting,kplotting,6.4.0-1
kplotting5,kplotting5,5.115.0-1
kpmcore,kpmcore,23.08.4-1
kpty,kpty,6.4.0-1
kpty5,kpty5,5.115.0-1
kpublictransport,kpublictransport,23.08.4-1
kqtquickcharts,kqtquickcharts,23.08.4-1
kquickcharts,kquickcharts,6.4.0-1
kquickcharts5,kquickcharts5,5.115.0-1
kquickimageeditor,kquickimageeditor,0.3.0-2
kquickimageeditor5,kquickimageeditor5,0.3.0-2
krb5,krb5,1.21.2-2
krdc,krdc,23.08.4-1
krdp,krdp,6.1.3-1
krecorder,krecorder,23.08.4-1
kreversi,kreversi,23.08.4-1
krfb,krfb,23.08.4-1
kross,kross,5.115.0-1
kruler,kruler,23.08.4-1
krunner,krunner,6.4.0-1
krunner5,krunner5,5.115.0-1
ksanecore,ksanecore,23.08.4-1
kscreen,kscreen,5.27.10-1
kscreenlocker,kscreenlocker,5.27.10-1
kservice,kservice,6.4.0-1
kservice5,kservice5,5.115.0-1
kshisen,kshisen,23.08.4-1
ksirk,ksirk,23.08.4-1
ksmtp,ksmtp,23.08.4-1
ksnakeduel,ksnakeduel,23.08.4-1
kspaceduel,kspaceduel,23.08.4-1
ksquares,ksquares,23.08.4-1
ksshaskpass,ksshaskpass,5.27.10-1
kstatusnotifieritem,kstatusnotifieritem,6.4.0-1
ksudoku,ksudoku,23.08.4-1
ksvg,ksvg,6.4.0-1
ksystemlog,ksystemlog,23.08.4-1
ksystemstats,ksystemstats,5.27.10-1
kteatime,kteatime,23.08.4-1
ktextaddons,ktextaddons,1.5.3-1
ktexteditor,ktexteditor,6.4.0-1
ktexteditor5,ktexteditor5,5.115.0-1
ktexttemplate,ktexttemplate,6.4.0-1
ktextwidgets,ktextwidgets,6.4.0-1
ktextwidgets5,ktextwidgets5,5.115.0-1
ktimer,ktimer,23.08.4-1
ktnef,ktnef,23.08.4-1
ktorrent,ktorrent,23.08.4-2
ktouch,ktouch,23.08.4-1
ktrip,ktrip,23.08.4-1
ktuberling,ktuberling,23.08.4-1
kturtle,kturtle,23.08.4-1
kubrick,kubrick,23.08.4-1
kunifiedpush,kunifiedpush,25.12.0-1
kunitconversion,kunitconversion,6.4.0-1
kunitconversion5,kunitconversion5,5.115.0-1
kuserfeedback5,kuserfeedback5,1.3.0-4
kwallet,kwallet-pam,5.27.10-1
kwallet5,kwallet5,5.115.0-1
kwalletmanager,kwalletmanager,23.08.4-1
kwave,kwave,23.08.4-1
kwayland,kwayland,6.1.3-1
kwayland,kwayland-integration,5.27.10-1
kwayland5,kwayland5,5.115.0-1
kweather,kweather,23.08.4-1
kweathercore,kweathercore,0.7-3
kwidgetsaddons,kwidgetsaddons,6.4.1-1
kwidgetsaddons5,kwidgetsaddons5,5.115.0-1
kwin,kwin,5.27.10-2
kwindowsystem,kwindowsystem,6.4.0-1
kwindowsystem5,kwindowsystem5,5.115.0-1
kwordquiz,kwordquiz,23.08.4-1
kwrited,kwrited,5.27.10-1
kxmlgui,kxmlgui,6.4.0-1
kxmlgui5,kxmlgui5,5.115.0-1
l,l-smash,2.14.5-3
lame,lame,3.100-4
lapack,lapack,3.12.0-3
layer,layer-shell-qt,5.27.10-1
lcms2,lcms2,2.16-1
ldb,ldb,2:2.8.0-1
ldns,ldns,1.8.3-2
leancrypto,leancrypto,1.6.0-1
leptonica,leptonica,1.84.1-2
less,less,1:643-1
lib2geom,lib2geom,1.3-1
lib32,lib32-gcc-libs,13.2.1-5
lib32,lib32-glibc,2.39-1
lib32,lib32-ncurses,6.4_20230520-1
libaccounts,libaccounts-glib,1.26-2
libaccounts,libaccounts-qt,1.16-3
libaec,libaec,1.1.2-1
libaemu,libaemu,0.1.2-5
libaio,libaio,0.3.113-2
libakonadi,libakonadi,23.08.4-1
libarchive,libarchive,3.7.2-1
libass,libass,0.17.1-2
libassuan,libassuan,2.5.6-1
